category,/Art & Theater Aficionados,/Auto Enthusiasts,/Auto Enthusiasts/Motorcycle Enthusiasts,/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,/Auto Enthusiasts/Truck & SUV Enthusiasts,/Avid Investors,/Beauty Mavens,/Business Professionals,/Comics & Animation Fans,/Cooking Enthusiasts,/Cooking Enthusiasts/30 Minute Chefs,/Cooking Enthusiasts/Aspiring Chefs,/Do-It-Yourselfers,/Family-Focused,/Fashionistas,/Fast Food Cravers,/Foodies,/Gamers,/Gamers/Action Game Fans,/Gamers/Adventure & Strategy Game Fans,/Gamers/Casual & Social Gamers,/Gamers/Driving & Racing Game Fans,/Gamers/Hardcore Gamers,/Gamers/Roleplaying Game Fans,/Gamers/Shooter Game Fans,/Gamers/Sports Game Fans,/Green Living Enthusiasts,/Health & Fitness Buffs,/Home Decor Enthusiasts,/Mobile Enthusiasts,/Movie Lovers,/Movie Lovers/Action & Adventure Movie Fans,/Movie Lovers/Comedy Movie Fans,/Movie Lovers/Family Movie Fans,/Movie Lovers/Horror Movie Fans,/Movie Lovers/Romance & Drama Movie Fans,/Movie Lovers/Sci-Fi & Fantasy Movie Fans,/Movie Lovers/South Asian Film Fans,/Music Lovers,/Music Lovers/Blues Fans,/Music Lovers/Classical Music Enthusiasts,/Music Lovers/Country Music Fans,/Music Lovers/Electronica & Dance Music Fans,/Music Lovers/Folk & Traditional Music Enthusiasts,/Music Lovers/Indie & Alternative Rock Fans,/Music Lovers/Jazz Enthusiasts,/Music Lovers/Metalheads,/Music Lovers/Pop Music Fans,/Music Lovers/Rap & Hip Hop Fans,/Music Lovers/Rock Music Fans,/Music Lovers/Spanish-Language Music Fans,/Music Lovers/World Music Fans,/News Junkies & Avid Readers,/News Junkies & Avid Readers/Business & Economic News Junkies,/News Junkies & Avid Readers/Entertainment & Celebrity News Junkies,/News Junkies & Avid Readers/Local News Junkies,/News Junkies & Avid Readers/Men's Media Fans,/News Junkies & Avid Readers/Women's Media Fans,/News Junkies & Avid Readers/World News Junkies,/Nightlife Enthusiasts,/Outdoor Enthusiasts,/Pet Lovers,/Pet Lovers/Cat Lovers,/Pet Lovers/Dog Lovers,/Political Junkies,/Shoppers,/Shoppers/Bargain Hunters,/Shoppers/Luxury Shoppers,/Shoppers/Shopaholics,/Shoppers/Value Shoppers,/Shutterbugs,/Social Media Enthusiasts,/Sports Fans,/Sports Fans/American Football Fans,/Sports Fans/Australian Football Fans,/Sports Fans/Baseball Fans,/Sports Fans/Basketball Fans,/Sports Fans/Boating & Sailing Enthusiasts,/Sports Fans/Cricket Enthusiasts,/Sports Fans/Cycling Enthusiasts,/Sports Fans/Fight & Wrestling Fans,/Sports Fans/Golf Enthusiasts,/Sports Fans/Hockey Fans,/Sports Fans/Motor Sports Enthusiasts,/Sports Fans/Racquetball Enthusiasts,/Sports Fans/Rugby Enthusiasts,/Sports Fans/Running Enthusiasts,/Sports Fans/Skiing Enthusiasts,/Sports Fans/Soccer Fans,/Sports Fans/Swimming Enthusiasts,/Sports Fans/Tennis Enthusiasts,/Sports Fans/Water Sports Enthusiasts,/Sports Fans/Winter Sports Enthusiasts,/TV Lovers,/TV Lovers/Documentary & Nonfiction TV Fans,/TV Lovers/Family Television Fans,"/TV Lovers/Game, Reality & Talk Show Fans",/TV Lovers/Sci-Fi & Fantasy TV Fans,/TV Lovers/TV Comedy Fans,/TV Lovers/TV Drama Fans,/Technophiles,/Thrill Seekers,/Travel Buffs,/Travel Buffs/Beachbound Travelers,/Travel Buffs/Family Vacationers,/Travel Buffs/Luxury Travelers,/Travel Buffs/Snowbound Travelers
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Android_Smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Android_Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a369i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
